epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,60.3143,2.85327,5.51772,2.77311,0.00065,0.06667,0.00061,0.00017,3.6432,5.27948,3.31463,2.82082e-05,2.82082e-05,2.82082e-05
40,62.0855,2.80482,5.38727,2.71413,0.00065,0.06667,0.00061,0.00017,3.6432,5.27948,3.31463,2.84911e-05,2.84911e-05,2.84911e-05
41,63.8267,2.54482,5.48558,2.49195,0.00065,0.06667,0.00057,0.00011,3.61409,5.314,3.32459,2.87504e-05,2.87504e-05,2.87504e-05
42,65.2976,2.79722,5.80656,2.87363,0.00065,0.06667,0.00057,0.00011,3.61409,5.314,3.32459,2.89861e-05,2.89861e-05,2.89861e-05
43,66.6804,2.66798,5.23762,2.66805,0.00065,0.06667,0.00059,0.00013,3.56071,5.27913,3.28248,2.91983e-05,2.91983e-05,2.91983e-05
44,68.021,2.80083,5.08155,2.65021,0.00065,0.06667,0.00059,0.00013,3.56071,5.27913,3.28248,2.93869e-05,2.93869e-05,2.93869e-05
45,69.436,2.70614,5.22732,2.60306,0.00065,0.06667,0.00062,0.00017,3.53566,5.25306,3.22912,2.9552e-05,2.9552e-05,2.9552e-05
46,70.7855,2.55295,5.23186,2.8155,0.00065,0.06667,0.00062,0.00017,3.53566,5.25306,3.22912,2.96935e-05,2.96935e-05,2.96935e-05
47,72.195,2.75785,5.30071,2.74079,0.00065,0.06667,0.00072,0.00017,3.49559,5.25146,3.20246,2.98114e-05,2.98114e-05,2.98114e-05
48,73.5258,2.9284,5.08829,2.72086,0.00065,0.06667,0.00072,0.00017,3.49559,5.25146,3.20246,2.99058e-05,2.99058e-05,2.99058e-05
49,74.9315,2.59595,5.41435,2.95088,0.00066,0.06667,0.00074,0.00018,3.45254,5.20261,3.1692,2.99766e-05,2.99766e-05,2.99766e-05
50,76.4146,2.50595,4.99844,2.61747,0.00066,0.06667,0.00074,0.00018,3.45254,5.20261,3.1692,3.00238e-05,3.00238e-05,3.00238e-05
51,78.4261,2.39577,5.22977,2.46148,0.00065,0.06667,0.00093,0.00028,3.36907,5.16953,3.13225,3.00475e-05,3.00475e-05,3.00475e-05
52,80.0953,2.47924,5.50344,2.54002,0.00065,0.06667,0.00093,0.00028,3.36907,5.16953,3.13225,3.00476e-05,3.00476e-05,3.00476e-05
53,81.6895,2.77608,5.31289,2.68552,0.00065,0.06667,0.00093,0.00028,3.36907,5.16953,3.13225,3.00242e-05,3.00242e-05,3.00242e-05
54,83.138,2.79735,5.18679,2.72191,0.00065,0.06667,0.00116,0.00038,3.30622,5.12982,3.05738,2.99772e-05,2.99772e-05,2.99772e-05
55,84.4993,2.29317,5.40366,2.5227,0.00065,0.06667,0.00116,0.00038,3.30622,5.12982,3.05738,2.99066e-05,2.99066e-05,2.99066e-05
56,85.955,2.91812,6.03181,2.77221,0.00065,0.06667,0.00116,0.00038,3.30622,5.12982,3.05738,2.98125e-05,2.98125e-05,2.98125e-05
57,87.4728,2.88801,5.39266,3.04919,0.00064,0.06667,0.00131,0.00057,3.20578,5.08279,2.95832,2.96948e-05,2.96948e-05,2.96948e-05
58,88.9083,2.8922,5.11186,2.80134,0.00064,0.06667,0.00131,0.00057,3.20578,5.08279,2.95832,2.95535e-05,2.95535e-05,2.95535e-05
59,90.2774,2.88887,5.28235,2.82324,0.00064,0.06667,0.00131,0.00057,3.20578,5.08279,2.95832,2.93887e-05,2.93887e-05,2.93887e-05
60,91.7004,3.06926,5.37261,2.95747,0.00064,0.06667,0.00165,0.0007,3.11373,5.06645,2.90564,2.92003e-05,2.92003e-05,2.92003e-05
61,93.041,2.68731,5.06223,2.56887,0.00064,0.06667,0.00165,0.0007,3.11373,5.06645,2.90564,2.89884e-05,2.89884e-05,2.89884e-05
62,94.4403,2.67174,5.06234,2.53341,0.00064,0.06667,0.00165,0.0007,3.11373,5.06645,2.90564,2.87529e-05,2.87529e-05,2.87529e-05
63,95.9023,2.60319,5.36409,2.57863,0.00065,0.06667,0.00186,0.00077,3.06441,5.12667,2.90193,2.84938e-05,2.84938e-05,2.84938e-05
64,97.285,2.42391,5.00271,2.42739,0.00065,0.06667,0.00186,0.00077,3.06441,5.12667,2.90193,2.82112e-05,2.82112e-05,2.82112e-05
65,98.7241,2.54157,5.13492,2.609,0.00065,0.06667,0.00186,0.00077,3.06441,5.12667,2.90193,2.7905e-05,2.7905e-05,2.7905e-05
66,100.141,2.46971,5.48849,2.88057,0.00048,0.05,0.00166,0.00058,3.00139,5.1492,2.90245,2.75753e-05,2.75753e-05,2.75753e-05
67,101.542,2.58547,4.92671,2.49689,0.00048,0.05,0.00166,0.00058,3.00139,5.1492,2.90245,2.7222e-05,2.7222e-05,2.7222e-05
68,102.899,2.79596,5.09987,3.02235,0.00048,0.05,0.00166,0.00058,3.00139,5.1492,2.90245,2.68451e-05,2.68451e-05,2.68451e-05
69,104.296,2.80634,5.12637,2.82711,0.00048,0.05,0.00183,0.00064,2.95101,5.11765,2.89018,2.64447e-05,2.64447e-05,2.64447e-05
70,105.64,2.94225,5.41707,2.79737,0.00048,0.05,0.00183,0.00064,2.95101,5.11765,2.89018,2.60207e-05,2.60207e-05,2.60207e-05
71,106.989,2.94904,5.14331,2.77558,0.00048,0.05,0.00183,0.00064,2.95101,5.11765,2.89018,2.55731e-05,2.55731e-05,2.55731e-05
72,108.386,2.23801,5.11194,2.40676,0.00049,0.05,0.00153,0.0006,2.9235,5.08951,2.87705,2.5102e-05,2.5102e-05,2.5102e-05
73,109.738,2.54658,5.06322,2.60886,0.00049,0.05,0.00153,0.0006,2.9235,5.08951,2.87705,2.46073e-05,2.46073e-05,2.46073e-05
74,111.079,2.34,5.62494,2.57098,0.00049,0.05,0.00153,0.0006,2.9235,5.08951,2.87705,2.40891e-05,2.40891e-05,2.40891e-05
75,112.491,2.4433,5.13682,2.62115,0.0005,0.05,0.00209,0.00063,2.8906,5.08155,2.86806,2.35472e-05,2.35472e-05,2.35472e-05
76,113.854,2.62661,4.9962,2.75442,0.0005,0.05,0.00209,0.00063,2.8906,5.08155,2.86806,2.29819e-05,2.29819e-05,2.29819e-05
77,115.205,2.40649,4.99217,2.38492,0.0005,0.05,0.00209,0.00063,2.8906,5.08155,2.86806,2.23929e-05,2.23929e-05,2.23929e-05
78,116.624,2.53042,4.94264,2.54138,0.0005,0.05,0.00131,0.00056,2.85801,5.11281,2.84957,2.17805e-05,2.17805e-05,2.17805e-05
79,117.97,2.66501,5.34553,2.70602,0.0005,0.05,0.00131,0.00056,2.85801,5.11281,2.84957,2.11444e-05,2.11444e-05,2.11444e-05
80,119.304,2.77395,5.37911,2.78461,0.0005,0.05,0.00131,0.00056,2.85801,5.11281,2.84957,2.04848e-05,2.04848e-05,2.04848e-05
81,120.743,2.37186,5.01713,2.4313,0.0005,0.05,0.00143,0.00054,2.8052,5.14023,2.85504,1.98016e-05,1.98016e-05,1.98016e-05
82,122.198,2.51075,5.05997,2.39511,0.0005,0.05,0.00143,0.00054,2.8052,5.14023,2.85504,1.90949e-05,1.90949e-05,1.90949e-05
83,123.807,2.66788,4.99284,2.62866,0.0005,0.05,0.00143,0.00054,2.8052,5.14023,2.85504,1.83646e-05,1.83646e-05,1.83646e-05
84,125.758,2.57657,5.24478,2.49835,0.00051,0.05,0.00119,0.00046,2.75627,5.14226,2.86257,1.76107e-05,1.76107e-05,1.76107e-05
85,127.327,2.68152,5.11269,2.58747,0.00051,0.05,0.00119,0.00046,2.75627,5.14226,2.86257,1.68333e-05,1.68333e-05,1.68333e-05
86,128.899,2.58025,5.32454,2.45867,0.00051,0.05,0.00119,0.00046,2.75627,5.14226,2.86257,1.60323e-05,1.60323e-05,1.60323e-05
87,130.436,2.50725,5.39511,2.46272,0.00051,0.05,0.00119,0.00046,2.75627,5.14226,2.86257,1.52077e-05,1.52077e-05,1.52077e-05
88,131.858,2.57505,5.05762,2.74124,0.00052,0.05,0.0012,0.0004,2.78173,5.17037,2.85351,1.43596e-05,1.43596e-05,1.43596e-05
89,133.237,2.81687,5.12256,2.86651,0.00052,0.05,0.0012,0.0004,2.78173,5.17037,2.85351,1.34879e-05,1.34879e-05,1.34879e-05
90,134.655,2.51096,5.00735,2.46952,0.00052,0.05,0.0012,0.0004,2.78173,5.17037,2.85351,1.25927e-05,1.25927e-05,1.25927e-05
91,136.027,2.20951,5.6072,2.45759,0.00052,0.05,0.0012,0.0004,2.78173,5.17037,2.85351,1.16739e-05,1.16739e-05,1.16739e-05
92,137.403,2.33283,5.96603,2.35884,0.00051,0.05,0.00133,0.00037,2.79644,5.21159,2.87709,1.07315e-05,1.07315e-05,1.07315e-05
93,138.744,2.03576,5.36393,2.33035,0.00051,0.05,0.00133,0.00037,2.79644,5.21159,2.87709,9.76562e-06,9.76562e-06,9.76562e-06
94,140.053,2.39788,5.8416,2.53599,0.00051,0.05,0.00133,0.00037,2.79644,5.21159,2.87709,8.77613e-06,8.77613e-06,8.77613e-06
95,141.404,2.5664,5.56712,2.67971,0.00051,0.05,0.00133,0.00037,2.79644,5.21159,2.87709,7.76308e-06,7.76308e-06,7.76308e-06
96,142.771,2.0545,5.40081,2.40246,0.00052,0.05,0.00129,0.00038,2.80899,5.28548,2.89956,6.72648e-06,6.72648e-06,6.72648e-06
97,144.113,2.26139,5.82353,2.61015,0.00052,0.05,0.00129,0.00038,2.80899,5.28548,2.89956,5.6663e-06,5.6663e-06,5.6663e-06
98,145.438,2.31634,5.69855,2.42409,0.00052,0.05,0.00129,0.00038,2.80899,5.28548,2.89956,4.58257e-06,4.58257e-06,4.58257e-06
99,146.736,2.33328,5.48048,2.44005,0.00052,0.05,0.00129,0.00038,2.80899,5.28548,2.89956,3.47528e-06,3.47528e-06,3.47528e-06
100,148.091,2.29876,5.54412,2.74581,0.00051,0.05,0.0012,0.00031,2.80013,5.34802,2.93717,2.34442e-06,2.34442e-06,2.34442e-06
