epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1084.88,0.67895,0.91775,1.07787,0.39968,0.25,0.26144,0.02848,3.20663,4.53944,3.61412,0.000820675,0.000820675,0.000820675
45,1110.01,0.73683,0.92166,1.10781,0.00489,0.83333,0.2644,0.02895,3.20068,4.73785,3.90115,0.000806528,0.000806528,0.000806528
46,1135.41,0.76345,1.00719,1.17596,0.00567,1,0.15046,0.01993,2.6373,4.18478,3.54136,0.00079238,0.00079238,0.00079238
47,1160.44,0.72858,0.93839,1.10779,0.00563,1,0.27807,0.03576,2.39318,4.08714,3.13643,0.000778233,0.000778233,0.000778233
48,1185.71,0.74328,0.88096,1.12722,0.43619,0.25,0.27866,0.0586,2.29319,4.02362,2.94821,0.000764086,0.000764086,0.000764086
49,1209.89,0.75676,0.98123,1.13755,0.44771,0.25,0.29296,0.06343,2.36234,3.95961,3.10419,0.000749939,0.000749939,0.000749939
50,1234.7,0.69103,0.91423,1.09213,0.93066,0.25,0.26306,0.05372,2.95351,4.10109,4.01557,0.000735792,0.000735792,0.000735792
51,1259.11,0.68473,0.90445,1.09092,0.96998,0.25,0.26044,0.05436,2.98413,3.80695,4.03743,0.000721645,0.000721645,0.000721645
52,1283.31,0.7542,0.93499,1.16389,0.5,0.48363,0.50001,0.07736,3.19439,3.38882,4.17111,0.000707498,0.000707498,0.000707498
53,1307.71,0.74434,0.80153,1.07959,0.5,0.48006,0.49968,0.10001,3.17729,3.40351,4.09718,0.000693351,0.000693351,0.000693351
54,1331.86,0.7117,0.75194,1.08437,0.5,0.47676,0.52149,0.1071,3.07448,3.15853,3.45556,0.000679204,0.000679204,0.000679204
55,1356.02,0.66572,0.79143,1.09336,0.61566,0.41667,0.58784,0.11812,2.79983,3.27772,3.21007,0.000665057,0.000665057,0.000665057
56,1380.27,0.71152,0.8029,1.0718,0.96275,0.25,0.44256,0.09732,2.88861,3.46546,3.3413,0.000650909,0.000650909,0.000650909
57,1404.74,0.62778,0.74754,1.0427,0.98326,0.25,0.43234,0.06131,3.10584,3.12649,3.62817,0.000636762,0.000636762,0.000636762
58,1429.06,0.62797,0.72174,1.06598,1,0.48598,0.5156,0.05909,3.17677,2.99729,3.73855,0.000622615,0.000622615,0.000622615
